# dist [cm]         E [MeV]    prob density   prob integral
        55.3702         338.494               0               0
        55.2593         337.106               0               0
        55.1485         335.722               0               0
        55.0376          334.34               0               0
        54.9268         332.961               0               0
        54.8159         331.585               0               0
        54.7051         330.211               0               0
        54.5942         328.841           5e-05           1e-07
        54.4834         327.474               0           1e-07
        54.3725         326.109               0           1e-07
        54.2617         324.748           5e-05           2e-07
        54.1508         323.389          0.0001           4e-07
          54.04         322.034          0.0002           8e-07
        53.9291         320.681          0.0003         1.4e-06
        53.8183         319.331          0.0003           2e-06
        53.7074         317.984          0.0002         2.4e-06
        53.5966          316.64         0.00035         3.1e-06
        53.4857         315.299          0.0004         3.9e-06
        53.3749         313.961          0.0004         4.7e-06
         53.264         312.626          0.0008         6.3e-06
        53.1532         311.294         0.00045         7.2e-06
        53.0423         309.964         0.00045         8.1e-06
        52.9315         308.638          0.0011        1.03e-05
        52.8206         307.314          0.0009        1.21e-05
        52.7098         305.993          0.0008        1.37e-05
        52.5989         304.676         0.00175        1.72e-05
        52.4881         303.361         0.00125        1.97e-05
        52.3772         302.049          0.0018        2.33e-05
        52.2664          300.74         0.00225        2.78e-05
        52.1555         299.434          0.0021         3.2e-05
        52.0447         298.131          0.0026        3.72e-05
        51.9338          296.83         0.00245        4.21e-05
         51.823         295.533          0.0028        4.77e-05
        51.7121         294.238           0.003        5.37e-05
        51.6013         292.947         0.00285        5.94e-05
        51.4904         291.658         0.00405        6.75e-05
        51.3796         290.372         0.00415        7.58e-05
        51.2687          289.09         0.00405        8.39e-05
        51.1579          287.81         0.00455         9.3e-05
         51.047         286.533         0.00545       0.0001039
        50.9362         285.259         0.00555        0.000115
        50.8253         283.987         0.00575       0.0001265
        50.7144         282.719         0.00675         0.00014
        50.6036         281.454         0.00715       0.0001543
        50.4927         280.191          0.0074       0.0001691
        50.3819         278.932         0.00955       0.0001882
         50.271         277.675          0.0098       0.0002078
        50.1602         276.421         0.01025       0.0002283
        50.0493          275.17          0.0121       0.0002525
        49.9385         273.923          0.0115       0.0002755
        49.8276         272.678         0.01225          0.0003
        49.7168         271.435          0.0133       0.0003266
        49.6059         270.196         0.01255       0.0003517
        49.4951          268.96          0.0137       0.0003791
        49.3842         267.726           0.017       0.0004131
        49.2734         266.496         0.01725       0.0004476
        49.1625         265.268          0.0192        0.000486
        49.0517         264.044         0.02055       0.0005271
        48.9408         262.822          0.0224       0.0005719
          48.83         261.603         0.02325       0.0006184
        48.7191         260.387          0.0233        0.000665
        48.6083         259.174         0.02655       0.0007181
        48.4974         257.964          0.0267       0.0007715
        48.3866         256.756          0.0279       0.0008273
        48.2757         255.552         0.03255       0.0008924
        48.1649          254.35          0.0325       0.0009574
         48.054         253.152         0.03235       0.0010221
        47.9432         251.956          0.0381       0.0010983
        47.8323         250.763          0.0373       0.0011729
        47.7215         249.573          0.0412       0.0012553
        47.6106         248.386           0.043       0.0013413
        47.4998         247.202          0.0458       0.0014329
        47.3889         246.021         0.04635       0.0015256
        47.2781         244.843         0.04895       0.0016235
        47.1672         243.667         0.05245       0.0017284
        47.0564         242.495         0.05755       0.0018435
        46.9455         241.325          0.0599       0.0019633
        46.8347         240.159         0.06675       0.0020968
        46.7238         238.995         0.06725       0.0022313
         46.613         237.834          0.0729       0.0023771
        46.5021         236.676          0.0726       0.0025223
        46.3912         235.521          0.0773       0.0026769
        46.2804         234.369          0.0813       0.0028395
        46.1695         233.219         0.08695       0.0030134
        46.0587         232.073         0.09425       0.0032019
        45.9478         230.929         0.09465       0.0033912
         45.837         229.788          0.1024        0.003596
        45.7261         228.651         0.11215       0.0038203
        45.6153         227.516         0.11255       0.0040454
        45.5044         226.384         0.12555       0.0042965
        45.3936         225.255          0.1315       0.0045595
        45.2827         224.129         0.13665       0.0048328
        45.1719         223.005          0.1512       0.0051352
         45.061         221.885          0.1567       0.0054486
        44.9502         220.767         0.17125       0.0057911
        44.8393         219.653          0.1769       0.0061449
        44.7285         218.541         0.19455        0.006534
        44.6176         217.432          0.2016       0.0069372
        44.5068         216.326         0.21025       0.0073577
        44.3959         215.223          0.2241       0.0078059
        44.2851         214.123         0.23615       0.0082782
        44.1742         213.025           0.248       0.0087742
        44.0634         211.931          0.2558       0.0092858
        43.9525          210.84          0.2759       0.0098376
        43.8417         209.751          0.2829       0.0104034
        43.7308         208.665          0.2926       0.0109886
          43.62         207.582          0.3072        0.011603
        43.5091         206.502         0.32085       0.0122447
        43.3983         205.425         0.33395       0.0129126
        43.2874         204.351          0.3528       0.0136182
        43.1766          203.28          0.3552       0.0143286
        43.0657         202.211         0.36735       0.0150633
        42.9549         201.146          0.3843       0.0158319
         42.844         200.083          0.3944       0.0166207
        42.7332         199.023         0.40415        0.017429
        42.6223         197.966         0.42535       0.0182797
        42.5115         196.912         0.44125       0.0191622
        42.4006         195.861         0.45625       0.0200747
        42.2898         194.813          0.4676       0.0210099
        42.1789         193.767          0.4743       0.0219585
        42.0681         192.725         0.50705       0.0229726
        41.9572         191.685         0.52005       0.0240127
        41.8463         190.648          0.5347       0.0250821
        41.7355         189.615         0.54725       0.0261766
        41.6246         188.584         0.55015       0.0272769
        41.5138         187.555          0.5714       0.0284197
        41.4029          186.53         0.58935       0.0295984
        41.2921         185.508         0.61085       0.0308201
        41.1812         184.488         0.62625       0.0320726
        41.0704         183.472         0.65845       0.0333895
        40.9595         182.458          0.6623       0.0347141
        40.8487         181.447         0.67805       0.0360702
        40.7378         180.439          0.6932       0.0374566
         40.627         179.434          0.7175       0.0388916
        40.5161         178.432         0.74205       0.0403757
        40.4053         177.433         0.76215          0.0419
        40.2944         176.436         0.76855       0.0434371
        40.1836         175.443         0.80275       0.0450426
        40.0727         174.452          0.8154       0.0466734
        39.9619         173.464          0.8503        0.048374
         39.851         172.479          0.8637       0.0501014
        39.7402         171.497         0.88445       0.0518703
        39.6293         170.518          0.8994       0.0536691
        39.5185         169.541         0.93255       0.0555342
        39.4076         168.568          0.9634        0.057461
        39.2968         167.597         0.97005       0.0594011
        39.1859         166.629         1.01475       0.0614306
        39.0751         165.665          1.0227        0.063476
        38.9642         164.703         1.05005       0.0655761
        38.8534         163.743         1.09805       0.0677722
        38.7425         162.787         1.09955       0.0699713
        38.6317         161.834          1.1264       0.0722241
        38.5208         160.883         1.17365       0.0745714
          38.41         159.936         1.20505       0.0769815
        38.2991         158.991           1.227       0.0794355
        38.1883         158.049         1.26345       0.0819624
        38.0774          157.11         1.29315       0.0845487
        37.9666         156.174         1.32185       0.0871924
        37.8557          155.24          1.3564       0.0899052
        37.7449          154.31          1.3851       0.0926754
         37.634         153.382         1.44985       0.0955751
        37.5231         152.457         1.45025       0.0984756
        37.4123         151.536          1.5264        0.101528
        37.3014         150.617         1.54065         0.10461
        37.1906           149.7         1.57085        0.107751
        37.0797         148.787         1.62375        0.110999
        36.9689         147.877         1.67445        0.114348
         36.858         146.969           1.703        0.117754
        36.7472         146.065         1.77165        0.121297
        36.6363         145.163          1.8006        0.124898
        36.5255         144.264          1.8715        0.128641
        36.4146         143.368         1.90845        0.132458
        36.3038         142.474         1.97895        0.136416
        36.1929         141.584          2.0123        0.140441
        36.0821         140.696         2.09945         0.14464
        35.9712         139.812         2.13595        0.148911
        35.8604          138.93         2.21315        0.153338
        35.7495         138.051         2.27755        0.157893
        35.6387         137.175         2.33565        0.162564
        35.5278         136.302         2.42155        0.167407
         35.417         135.431           2.502        0.172411
        35.3061         134.564         2.55565        0.177523
        35.1953         133.699          2.6585         0.18284
        35.0844         132.837         2.73975        0.188319
        34.9736         131.978         2.84675        0.194013
        34.8627         131.122          2.9408        0.199894
        34.7519         130.269          3.0419        0.205978
         34.641         129.418          3.1688        0.212316
        34.5302         128.571           3.271        0.218858
        34.4193         127.726          3.3909        0.225639
        34.3085         126.884          3.5496        0.232739
        34.1976         126.045         3.70045        0.240139
        34.0868         125.209         3.84965        0.247839
        33.9759         124.376           4.041        0.255921
        33.8651         123.545         4.21145        0.264344
        33.7542         122.718         4.42395        0.273192
        33.6434         121.893         4.66375        0.282519
        33.5325         121.071         4.89945        0.292318
        33.4217         120.252         5.20035        0.302719
        33.3108         119.436          5.5057         0.31373
        33.1999         118.622          5.8301         0.32539
        33.0891         117.812         6.28755        0.337965
        32.9782         117.004          6.7564        0.351478
        32.8674         116.199         7.30125        0.366081
        32.7565         115.397         8.03005        0.382141
        32.6457         114.598          8.8409        0.399823
        32.5348         113.802         9.99055        0.419804
         32.424         113.009         11.4988        0.442801
        32.3131         112.218         13.8161        0.470434
        32.2023          111.43         17.8048        0.506043
        32.0914         110.645         28.9004        0.563844
        31.9806         109.863         30.3728         0.62459
        31.8697         109.084          1.1087        0.626807
        31.7589         108.308         1.11525        0.629038
         31.648         107.534          1.1089        0.631255
        31.5372         106.763         1.10975        0.633475
        31.4263         105.995         1.10305        0.635681
        31.3155          105.23            1.11        0.637901
        31.2046         104.468          1.0951        0.640091
        31.0938         103.709          1.0952        0.642282
        30.9829         102.952          1.1176        0.644517
        30.8721         102.199           1.094        0.646705
        30.7612         101.448          1.0892        0.648883
        30.6504           100.7         1.09305        0.651069
        30.5395         99.9546            1.09        0.653249
        30.4287         99.2122         1.08775        0.655425
        30.3178         98.4727         1.10155        0.657628
         30.207         97.7361          1.0682        0.659764
        30.0961         97.0022          1.0727         0.66191
        29.9853         96.2712          1.0792        0.664068
        29.8744          95.543          1.0821        0.666232
        29.7636         94.8177         1.07955        0.668391
        29.6527         94.0951          1.0784        0.670548
        29.5419         93.3755          1.0779        0.672704
         29.431         92.6586          1.0773        0.674859
        29.3202         91.9446         1.07325        0.677005
        29.2093         91.2334          1.0732        0.679152
        29.0985          90.525          1.0588        0.681269
        28.9876         89.8195         1.06235        0.683394
        28.8768         89.1167         1.05705        0.685508
        28.7659         88.4169          1.0546        0.687617
         28.655         87.7198         1.05505        0.689727
        28.5442         87.0256         1.05955        0.691846
        28.4333         86.3341          1.0487        0.693944
        28.3225         85.6456          1.0517        0.696047
        28.2116         84.9598         1.05095        0.698149
        28.1008         84.2768           1.052        0.700253
        27.9899         83.5967         1.03985        0.702333
        27.8791         82.9194          1.0372        0.704407
        27.7682          82.245         1.03945        0.706486
        27.6574         81.5733         1.02395        0.708534
        27.5465         80.9045         1.04315         0.71062
        27.4357         80.2385          1.0261        0.712673
        27.3248         79.5753         1.01915        0.714711
         27.214         78.9149         1.01895        0.716749
        27.1031         78.2573          1.0183        0.718785
        26.9923         77.6026         1.01195        0.720809
        26.8814         76.9507         1.01485        0.722839
        26.7706         76.3016         1.01365        0.724866
        26.6597         75.6553          1.0173        0.726901
        26.5489         75.0118          1.0095         0.72892
         26.438         74.3712          1.0132        0.730946
        26.3272         73.7333         1.01485        0.732976
        26.2163         73.0983          1.0011        0.734978
        26.1055         72.4661         0.98085         0.73694
        25.9946         71.8367          1.0008        0.738941
        25.8838         71.2101          0.9918        0.740925
        25.7729         70.5863          0.9905        0.742906
        25.6621         69.9653          0.9844        0.744875
        25.5512         69.3472         0.97415        0.746823
        25.4404         68.7318          0.9834         0.74879
        25.3295         68.1193          0.9892        0.750768
        25.2187         67.5096          0.9806         0.75273
        25.1078         66.9026           0.972        0.754674
         24.997         66.2985          0.9756        0.756625
        24.8861         65.6972         0.98015        0.758585
        24.7753         65.0987          0.9664        0.760518
        24.6644          64.503          0.9658        0.762449
        24.5536         63.9101         0.96495        0.764379
        24.4427           63.32          0.9502         0.76628
        24.3318         62.7327         0.95255        0.768185
         24.221         62.1483         0.93435        0.770054
        24.1101         61.5666         0.94705        0.771948
        23.9993         60.9877          0.9436        0.773835
        23.8884         60.4116          0.9386        0.775712
        23.7776         59.8383          0.9386        0.777589
        23.6667         59.2678         0.94005        0.779469
        23.5559         58.7002          0.9403         0.78135
         23.445         58.1353         0.91965        0.783189
        23.3342         57.5732         0.93435        0.785058
        23.2233         57.0139           0.918        0.786894
        23.1125         56.4574           0.922        0.788738
        23.0016         55.9037          0.9306        0.790599
        22.8908         55.3528         0.92685        0.792453
        22.7799         54.8047          0.9099        0.794273
        22.6691         54.2594          0.9077        0.796088
        22.5582         53.7168         0.91605         0.79792
        22.4474         53.1771          0.9013        0.799723
        22.3365         52.6402         0.89585        0.801514
        22.2257          52.106           0.899        0.803312
        22.1148         51.5747         0.88585        0.805084
         22.004         51.0461          0.9032        0.806891
        21.8931         50.5203         0.88855        0.808668
        21.7823         49.9973          0.8938        0.810455
        21.6714         49.4771          0.8802        0.812216
        21.5606         48.9597          0.8621         0.81394
        21.4497         48.4451         0.88235        0.815704
        21.3389         47.9332           0.867        0.817438
         21.228         47.4241          0.8642        0.819167
        21.1172         46.9179          0.8591        0.820885
        21.0063         46.4144         0.86255         0.82261
        20.8955         45.9136          0.8635        0.824337
        20.7846         45.4157          0.8506        0.826038
        20.6738         44.9206         0.83135        0.827701
        20.5629         44.4282         0.85075        0.829403
        20.4521         43.9386          0.8347        0.831072
        20.3412         43.4518         0.82865        0.832729
        20.2304         42.9677         0.84665        0.834423
        20.1195         42.4865         0.82745        0.836078
        20.0087          42.008          0.8434        0.837764
        19.8978         41.5323         0.82135        0.839407
        19.7869         41.0593         0.81155         0.84103
        19.6761         40.5892         0.82845        0.842687
        19.5652         40.1218          0.8208        0.844329
        19.4544         39.6572           0.812        0.845953
        19.3435         39.1953          0.8027        0.847558
        19.2327         38.7362         0.81385        0.849186
        19.1218         38.2799         0.79155        0.850769
         19.011         37.8264         0.79505        0.852359
        18.9001         37.3756          0.7971        0.853953
        18.7893         36.9276         0.79765        0.855548
        18.6784         36.4824          0.7816        0.857112
        18.5676         36.0399         0.78305        0.858678
        18.4567         35.6002         0.78035        0.860238
        18.3459         35.1633          0.7803        0.861799
         18.235         34.7291         0.78295        0.863365
        18.1242         34.2977         0.77335        0.864912
        18.0133          33.869         0.78065        0.866473
        17.9025         33.4431          0.7689        0.868011
        17.7916           33.02         0.76335        0.869537
        17.6808         32.5996         0.75025        0.871038
        17.5699          32.182          0.7528        0.872543
        17.4591         31.7672         0.75735        0.874058
        17.3482         31.3551          0.7372        0.875533
        17.2374         30.9457         0.73145        0.876995
        17.1265         30.5391          0.7438        0.878483
        17.0157         30.1353         0.73415        0.879951
        16.9048         29.7342          0.7354        0.881422
         16.794         29.3359          0.7349        0.882892
        16.6831         28.9403         0.72735        0.884347
        16.5723         28.5475         0.70505        0.885757
        16.4614         28.1574          0.7157        0.887188
        16.3506         27.7701         0.70585          0.8886
        16.2397         27.3855         0.70455        0.890009
        16.1289         27.0037          0.7077        0.891424
         16.018         26.6246          0.6876          0.8928
        15.9072         26.2482         0.69445        0.894188
        15.7963         25.8746          0.6923        0.895573
        15.6855         25.5038          0.6842        0.896941
        15.5746         25.1356          0.6812        0.898304
        15.4637         24.7703          0.6819        0.899668
        15.3529         24.4076         0.67765        0.901023
         15.242         24.0477          0.6752        0.902373
        15.1312         23.6906         0.66335          0.9037
        15.0203         23.3361         0.66095        0.905022
        14.9095         22.9845         0.65995        0.906342
        14.7986         22.6355          0.6678        0.907677
        14.6878         22.2893         0.65425        0.908986
        14.5769         21.9458         0.64655        0.910279
        14.4661          21.605          0.6352         0.91155
        14.3552          21.267          0.6349        0.912819
        14.2444         20.9317         0.62835        0.914076
        14.1335         20.5992         0.63215         0.91534
        14.0227         20.2693         0.62965          0.9166
        13.9118         19.9422          0.6229        0.917845
         13.801         19.6178          0.6316        0.919109
        13.6901         19.2962         0.61205        0.920333
        13.5793         18.9772         0.61405        0.921561
        13.4684          18.661         0.60905        0.922779
        13.3576         18.3475          0.6031        0.923985
        13.2467         18.0367          0.5978        0.925181
        13.1359         17.7287          0.5961        0.926373
         13.025         17.4233          0.5909        0.927555
        12.9142         17.1207           0.591        0.928737
        12.8033         16.8208          0.5829        0.929902
        12.6925         16.5236          0.5788         0.93106
        12.5816         16.2291         0.58015         0.93222
        12.4708         15.9374          0.5666        0.933354
        12.3599         15.6483           0.561        0.934476
        12.2491         15.3619          0.5603        0.935596
        12.1382         15.0783         0.54985        0.936696
        12.0274         14.7974         0.55155        0.937799
        11.9165         14.5191          0.5507          0.9389
        11.8057         14.2436          0.5447         0.93999
        11.6948         13.9708         0.53975        0.941069
         11.584         13.7007         0.52885        0.942127
        11.4731         13.4333          0.5282        0.943183
        11.3623         13.1685          0.5219        0.944227
